,date,aqi,category,defining_parameter,defining_site,number_of_sites_reporting
28648,2017-01-01,39,Good,Ozone,06-083-4003,12
28649,2017-01-02,39,Good,PM2.5,06-083-2011,11
28650,2017-01-03,71,Moderate,PM10,06-083-4003,12
28651,2017-01-04,34,Good,Ozone,06-083-4003,13
28652,2017-01-05,37,Good,Ozone,06-083-4003,12
28653,2017-01-06,41,Good,PM2.5,06-083-2011,12
28654,2017-01-07,40,Good,Ozone,06-083-4003,13
28655,2017-01-08,264,Very Unhealthy,PM10,06-083-4003,12
28656,2017-01-09,35,Good,Ozone,06-083-4003,12
28657,2017-01-10,35,Good,Ozone,06-083-1025,13
28658,2017-01-11,44,Good,PM2.5,06-083-1008,12
28659,2017-01-12,40,Good,Ozone,06-083-1025,12
28660,2017-01-13,38,Good,Ozone,06-083-1025,12
28661,2017-01-14,37,Good,Ozone,06-083-1025,11
28662,2017-01-15,36,Good,Ozone,06-083-1025,11
28663,2017-01-16,38,Good,PM2.5,06-083-2011,12
28664,2017-01-17,42,Good,PM2.5,06-083-2011,12
28665,2017-01-18,46,Good,PM2.5,06-083-2011,12
28666,2017-01-19,40,Good,Ozone,06-083-4003,13
28667,2017-01-20,41,Good,Ozone,06-083-1025,12
28668,2017-01-21,45,Good,PM10,06-083-4003,12
28669,2017-01-22,41,Good,Ozone,06-083-4003,13
28670,2017-01-23,41,Good,Ozone,06-083-4003,12
28671,2017-01-24,39,Good,Ozone,06-083-1025,12
28672,2017-01-25,41,Good,Ozone,06-083-1021,12
28673,2017-01-26,42,Good,Ozone,06-083-2011,12
28674,2017-01-27,51,Moderate,PM2.5,06-083-1008,12
28675,2017-01-28,43,Good,Ozone,06-083-1021,13
28676,2017-01-29,44,Good,Ozone,06-083-1021,12
28677,2017-01-30,43,Good,Ozone,06-083-1013,11
28678,2017-01-31,46,Good,Ozone,06-083-1013,13
28679,2017-02-01,55,Moderate,PM2.5,06-083-2011,12
28680,2017-02-02,127,Unhealthy for Sensitive Groups,PM10,06-083-4003,12
28681,2017-02-03,32,Good,Ozone,06-083-4003,13
28682,2017-02-04,36,Good,Ozone,06-083-4003,12
28683,2017-02-05,36,Good,Ozone,06-083-4003,12
28684,2017-02-06,38,Good,Ozone,06-083-1021,13
28685,2017-02-07,27,Good,Ozone,06-083-1025,12
28686,2017-02-08,20,Good,Ozone,06-083-2011,12
28687,2017-02-09,31,Good,Ozone,06-083-4003,12
28688,2017-02-10,40,Good,Ozone,06-083-4003,12
28689,2017-02-11,39,Good,Ozone,06-083-4003,12
28690,2017-02-12,34,Good,Ozone,06-083-1025,13
28691,2017-02-13,33,Good,Ozone,06-083-1025,12
28692,2017-02-14,47,Good,PM2.5,06-083-2011,12
28693,2017-02-15,51,Moderate,PM2.5,06-083-2011,13
28694,2017-02-16,40,Good,Ozone,06-083-4003,12
28695,2017-02-17,47,Good,Ozone,06-083-1021,12
28696,2017-02-18,44,Good,Ozone,06-083-1025,13
28697,2017-02-19,41,Good,Ozone,06-083-4003,12
28698,2017-02-20,37,Good,Ozone,06-083-4003,12
28699,2017-02-21,39,Good,Ozone,06-083-4003,13
28700,2017-02-22,40,Good,Ozone,06-083-4003,12
28701,2017-02-23,45,Good,Ozone,06-083-1021,12
28702,2017-02-24,44,Good,Ozone,06-083-1021,12
28703,2017-02-25,45,Good,PM2.5,06-083-2011,12
28704,2017-02-26,43,Good,Ozone,06-083-4003,12
28705,2017-02-27,44,Good,Ozone,06-083-1021,13
28706,2017-02-28,45,Good,PM2.5,06-083-1008,12
28707,2017-03-01,46,Good,Ozone,06-083-1021,11
28708,2017-03-02,43,Good,Ozone,06-083-1025,13
28709,2017-03-03,47,Good,Ozone,06-083-1021,12
28710,2017-03-04,55,Moderate,PM2.5,06-083-2011,12
28711,2017-03-05,44,Good,Ozone,06-083-1021,13
28712,2017-03-06,40,Good,Ozone,06-083-4003,12
28713,2017-03-07,40,Good,Ozone,06-083-4003,12
28714,2017-03-08,42,Good,Ozone,06-083-1025,12
28715,2017-03-09,41,Good,Ozone,06-083-1014,12
28716,2017-03-10,54,Moderate,PM2.5,06-083-2011,12
28717,2017-03-11,50,Good,PM2.5,06-083-1008,13
28718,2017-03-12,53,Moderate,PM2.5,06-083-1008,12
28719,2017-03-13,52,Moderate,PM2.5,06-083-2011,12
28720,2017-03-14,67,Moderate,Ozone,06-083-4003,13
28721,2017-03-15,45,Good,Ozone,06-083-4003,12
28722,2017-03-16,46,Good,PM2.5,06-083-2011,12
28723,2017-03-17,51,Moderate,PM2.5,06-083-2011,12
28724,2017-03-18,64,Moderate,PM2.5,06-083-2011,12
28725,2017-03-19,68,Moderate,PM2.5,06-083-2011,12
28726,2017-03-20,37,Good,Ozone,06-083-4003,13
28727,2017-03-21,29,Good,Ozone,06-083-4003,12
28728,2017-03-22,43,Good,Ozone,06-083-4003,12
28729,2017-03-23,40,Good,Ozone,06-083-4003,13
28730,2017-03-24,41,Good,Ozone,06-083-1014,12
28731,2017-03-25,45,Good,Ozone,06-083-4003,12
28732,2017-03-26,41,Good,Ozone,06-083-4003,13
28733,2017-03-27,55,Moderate,PM2.5,06-083-1008,12
28734,2017-03-28,46,Good,PM10,06-083-4003,12
28735,2017-03-29,53,Moderate,PM2.5,06-083-1008,13
28736,2017-03-30,70,Moderate,PM2.5,06-083-1008,12
28737,2017-03-31,60,Moderate,PM2.5,06-083-1008,12
28738,2017-04-01,52,Moderate,PM2.5,06-083-2011,13
28739,2017-04-02,55,Moderate,PM2.5,06-083-2011,12
28740,2017-04-03,56,Moderate,PM2.5,06-083-1008,12
28741,2017-04-04,57,Moderate,PM2.5,06-083-1008,13
28742,2017-04-05,97,Moderate,Ozone,06-083-3001,12
28743,2017-04-06,77,Moderate,Ozone,06-083-1014,12
28744,2017-04-07,61,Moderate,Ozone,06-083-1014,13
28745,2017-04-08,46,Good,Ozone,06-083-4003,12
28746,2017-04-09,48,Good,Ozone,06-083-0011,12
28747,2017-04-10,54,Moderate,Ozone,06-083-0011,13
28748,2017-04-11,52,Moderate,PM2.5,06-083-2011,12
28749,2017-04-12,37,Good,Ozone,06-083-0011,12
28750,2017-04-13,46,Good,Ozone,06-083-0011,12
28751,2017-04-14,50,Good,Ozone,06-083-1014,12
28752,2017-04-15,54,Moderate,Ozone,06-083-1014,12
28753,2017-04-16,54,Moderate,Ozone,06-083-1014,13
28754,2017-04-17,36,Good,Ozone,06-083-0011,12
28755,2017-04-18,37,Good,Ozone,06-083-4003,12
28756,2017-04-19,42,Good,Ozone,06-083-4003,13
